Human gene name,Gene name
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
SP100,
PRAMEF20,Gm16367
PRAMEF10,Gm16367
PRAMEF12,Gm16367
PRAMEF26,Gm16367
PRAMEF18,Gm16367
PRAMEF14,Gm16367
PRAMEF9,Gm16367
PRAMEF1,Gm16367
PRAMEF4,Gm16367
PRAMEF33,Gm16367
PRAMEF17,Gm16367
PRAMEF15,Gm16367
PRAMEF25,Gm16367
PRAMEF6,Gm16367
PRAMEF13,Gm16367
PRAMEF2,Gm16367
PRAMEF27,Gm16367
PRAMEF5,Gm16367
PRAMEF11,Gm16367
PRAMEF8,Gm16367
PRAMEF19,Gm16367
PRAMEF7,Gm16367
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
PRAMEF20,
PRAMEF10,
PRAMEF12,
PRAMEF26,
PRAMEF18,
PRAMEF14,
PRAMEF9,
PRAMEF1,
PRAMEF4,
PRAMEF33,
PRAMEF17,
PRAMEF15,
PRAMEF25,
PRAMEF6,
PRAMEF13,
PRAMEF2,
PRAMEF27,
PRAMEF5,
PRAMEF11,
PRAMEF8,
PRAMEF19,
PRAMEF7,
SYCP3,Gm20817
SYCP3,Gm28490
SYCP3,Gm21094
SYCP3,Gm20838
SYCP3,Gm20888
SYCP3,Gm20869
SYCP3,Gm20870
SYCP3,Gm20855
SYCP3,Gm20843
SYCP3,Gm20896
SYCP3,Gm20903
SYCP3,Gm20835
SYCP3,Gm29110
SYCP3,Gm20905
SYCP3,Gm20814
SYCP3,Gm20850
SYCP3,Gm20897
SYCP3,Gm21173
SYCP3,Gm21865
SYCP3,Gm21650
SYCP3,Gm29564
SYCP3,Gm29276
SYCP3,Gm20916
SYCP3,Gm21760
SYCP3,Gm21739
SYCP3,Gm28897
SYCP3,Gm20911
SYCP3,Gm21317
SYCP3,Gm28827
SYCP3,Gm21256
SYCP3,Gm20792
SYCP3,Gm21095
SYCP3,Gm28553
SYCP3,Gm21409
SYCP3,Gm21209
SYCP3,Gm28870
SYCP3,Gm20820
SYCP3,Gm20883
SYCP3,Gm21117
SYCP3,Gm21477
SYCP3,Gm20906
SYCP3,Gm20920
SYCP3,Gm28102
SYCP3,Gm21294
SYCP3,Gm21258
SYCP3,Gm21996
SYCP3,Gm20837
SYCP3,Gm20929
SYCP3,Gm20931
SYCP3,Gm21858
SYCP3,Sly
SYCP3,Gm28961
SYCP3,Gm21861
SYCP3,Gm28891
SYCP3,1700040F15Rik
SYCP3,Gm21497
SYCP3,Gm21518
SYCP3,Gm21627
SYCP3,Gm20908
SYCP3,Gm20736
SYCP3,Gm20937
SYCP3,Gm31571
SYCP3,Gm21366
SYCP3,Gm20890
SYCP3,Gm21488
SYCP3,Gm20894
SYCP3,Gm29582
RBMY1E,Gm29289
RBMY1D,Gm29289
RBMY1B,Gm29289
RBMY1A1,Gm29289
RBMY1J,Gm29289
RBMY1F,Gm29289
RBMY1E,Gm21677
RBMY1D,Gm21677
RBMY1B,Gm21677
RBMY1A1,Gm21677
RBMY1J,Gm21677
RBMY1F,Gm21677
RBMY1E,Gm21693
RBMY1D,Gm21693
RBMY1B,Gm21693
RBMY1A1,Gm21693
RBMY1J,Gm21693
RBMY1F,Gm21693
RBMY1E,Gm21704
RBMY1D,Gm21704
RBMY1B,Gm21704
RBMY1A1,Gm21704
RBMY1J,Gm21704
RBMY1F,Gm21704
RBMY1E,Gm21708
RBMY1D,Gm21708
RBMY1B,Gm21708
RBMY1A1,Gm21708
RBMY1J,Gm21708
RBMY1F,Gm21708
RBMY1E,Gm3376
RBMY1D,Gm3376
RBMY1B,Gm3376
RBMY1A1,Gm3376
RBMY1J,Gm3376
RBMY1F,Gm3376
SYCP3,Gm28919
SYCP3,Gm28998
SYCP3,Gm28576
SYCP3,Gm20824
SYCP3,Gm28510
SYCP3,Gm29554
SYCP3,Gm30737
SYCP3,Gm35134
SYCP3,Gm29866
ZNF549,Zfy1
ZNF610,Zfy1
ZNF480,Zfy1
ZNF584,Zfy1
ZNF418,Zfy1
ZNF586,Zfy1
ZNF154,Zfy1
ZNF256,Zfy1
ZNF134,Zfy1
ZNF772,Zfy1
ZNF837,Zfy1
ZNF304,Zfy1
ZNF548,Zfy1
,Zfy1
ZNF792,Zfy1
ZNF793,Zfy1
,Zfy1
,Zfy1
ZNF419,Zfy1
ZNF562,Zfy1
ZNF561,Zfy1
ZNF773,Zfy1
ZNF587B,Zfy1
ZNF552,Zfy1
KDM5D,Kdm5d
UTY,Uty
DDX3Y,Ddx3y
USP9Y,Usp9y
CHST9,Chst9
CDH2,Cdh2
ZNF549,Zfy2
ZNF610,Zfy2
ZNF480,Zfy2
ZNF584,Zfy2
ZNF418,Zfy2
ZNF586,Zfy2
ZNF154,Zfy2
ZNF256,Zfy2
ZNF134,Zfy2
ZNF772,Zfy2
ZNF837,Zfy2
ZNF304,Zfy2
ZNF548,Zfy2
,Zfy2
ZNF792,Zfy2
ZNF793,Zfy2
,Zfy2
,Zfy2
ZNF419,Zfy2
ZNF562,Zfy2
ZNF561,Zfy2
ZNF773,Zfy2
ZNF587B,Zfy2
ZNF552,Zfy2
CEP120,Cep120
H2AL3,H2al2c
H2AL1Q,H2al2c
SRY,Sry
H2AL3,H2al2b
H2AL1Q,H2al2b
RBMY1E,Gm4064
RBMY1D,Gm4064
RBMY1B,Gm4064
RBMY1A1,Gm4064
RBMY1J,Gm4064
RBMY1F,Gm4064
RBMY1E,Rbmy
RBMY1D,Rbmy
RBMY1B,Rbmy
RBMY1A1,Rbmy
RBMY1J,Rbmy
RBMY1F,Rbmy
RBMY1E,Gm10256
RBMY1D,Gm10256
RBMY1B,Gm10256
RBMY1A1,Gm10256
RBMY1J,Gm10256
RBMY1F,Gm10256
RBMY1E,Gm10352
RBMY1D,Gm10352
RBMY1B,Gm10352
RBMY1A1,Gm10352
RBMY1J,Gm10352
RBMY1F,Gm10352
CSNK1G3,Csnk1g3
DSC3,Dsc3
ZNF608,Zfp608
,Gm24183
,Gm24183
,Gm24183
RN7SKP109,7SK
GRAMD2B,Gramd3
DSC2,Dsc2
DSC1,Dsc1
DSG1,Dsg1c
DSG1,Dsg1a
DSG1,Dsg1b
ALDH7A1,Aldh7a1
SNORD114-1,AF357341
SNORD114-1,Gm22981
SNORD114-1,Gm25856
SNORD114-14,Gm23787
SNORD114-12,Gm23787
SNORD114-19,Gm23787
SNORD114-28,Gm22205
SNORD114-9,Gm22205
SNORD114-22,Gm22205
SNORD114-23,Gm22205
SNORD114-20,Gm22205
SNORD114-25,Gm22205
SNORD114-24,Gm22205
SNORD114-28,Gm25224
SNORD114-9,Gm25224
SNORD114-22,Gm25224
SNORD114-23,Gm25224
SNORD114-20,Gm25224
SNORD114-25,Gm25224
SNORD114-24,Gm25224
MIR299,Mir299a
LRATD1,Lratd1
MIR323A,Mir323
MIR494,Mir494
RNU6-21P,Gm25414
RNU6-143P,Gm25414
RNU6-245P,Gm25414
KLF9,Klf9
RBM14,Rbm14
MIR381,Mir381
DSG4,Dsg4
HABP2,Habp2
TRIB2,Trib2
PHAX,Phax
TEX43,Tex43
HEATR5A,Heatr5a
LMNB1,Lmnb1
CCS,Ccs
MARCHF3,Marchf3
DSG3,Dsg3
CCDC87,Ccdc87
CTSF,Ctsf
DTD2,Dtd2
GPR33,Gpr33
VRTN,Vrtn
C5orf63,C330018D20Rik
DSG2,Dsg2
ACTN3,Actn3
SMC5,Smc5
MIR382,Mir382
MIR134,Mir134
MIR668,Mir668
TTR,Ttr
MIR154,Mir154
MIR496,Mir496a
MIR377,Mir377
SYNDIG1L,Syndig1l
B4GALT6,B4galt6
MIR541,Mir541
MIR409,mmu-mir-409
MIR409,Mir409
MIR412,Mir412
MIR410,Mir410
NUBPL,Nubpl
MEGF10,Megf10
NPC2,Npc2
ISCA2,Isca2
PRRC1,Prrc1
ARHGAP5,Arhgap5
CTXN3,Ctxn3
DIO3,Dio3
RNU6-806P,Gm24263
ZDHHC24,Zdhhc24
TRAPPC8,Trappc8
RNU6-7,Gm24859
RNU6-8,Gm24859
RNU6-7,Gm23296
RNU6-8,Gm23296
AKAP6,Akap6
MAMDC2,Mamdc2
CFAP95,1700028P14Rik
NPAS3,Npas3
PTAR1,Ptar1
CCDC192,Ccdc192
,Bbs1
BBS1,Bbs1
EGLN3,Egln3
RNF125,Rnf125
RNU1-35P,Gm22220
SPTSSA,Sptssa
RNU6-514P,Gm26038
SLC12A2,Slc12a2
LTBP2,Ltbp2
APBA1,Apba1
RNF138,Rnf138
,Ifitm7
IFITM3,Ifitm7
IFITM2,Ifitm7
IFITM1,Ifitm7
KRTAP8-1,Krtap8-1
KRTAP7-1,Krtap7-1
KRTAP11-1,Krtap11-1
BMERB1,Bmerb1
FAM189A2,Fam189a2
RABL3,Rabl3
MEP1B,Mep1b
DPP3,Dpp3
GAREM1,Garem1
HGD,Hgd
Y_RNA,Y_RNA
FBN2,Fbn2
EAPP,Eapp
NDUFB4,Ndufb4
MARF1,Marf1
PPP2R5C,Ppp2r5c
TJP2,Tjp2
,Tjp2
MIR484,Mir484
FSTL1,Fstl1
RNA5SP443,5S_rRNA
KLHL14,Klhl14
BTN3A1,Gm36028
LRRC58,Lrrc58
SLC27A6,Slc27a6
GPR156,Gpr156
RNU1-125P,Gm25140
GSK3B,Gsk3b
ISOC1,Isoc1
ADAMTS19,Adamts19
PELI3,Peli3
SNORA17A,
NR1I2,Nr1i2
FXN,Fxn
CCDC178,Ccdc178
CNTNAP3,Cntnap3
CNTNAP3B,Cntnap3
CNTNAP3C,Cntnap3
SNX6,Snx6
NDE1,Nde1
MRPL11,Mrpl11
NPAS4,Npas4
FAM169A,Fam169a
AREL1,Arel1
PIP5K1B,Pip5k1b
MINAR2,Minar2
SPATA31A7,Spata31
SPATA31C2,Spata31
SPATA31A3,Spata31
SPATA31A5,Spata31
SPATA31A6,Spata31
SPATA31A1,Spata31
TIAM1,Tiam1
PLP2,Gm6169
CHSY3,Chsy3
RN7SKP256,7SK
RN7SKP192,7SK
NSA2,Nsa2
PABIR1,Fam122a
TMEM252,Tmem252
PGM5,Pgm5
ASXL3,Asxl3
MFSD14B,Mfsd14b
DYNC1H1,Dync1h1
CYCS,Gm10053
FOXD4L6,Foxd4
FOXD4L4,Foxd4
FOXD4,Foxd4
FOXD4L1,Foxd4
FOXD4L5,Foxd4
FOXD4L3,Foxd4
NRAP,Nrap
SMIM3,Smim3
OR9H1P,Olfr466
DCTN4,Dctn4
EPDR1,Epdr1
TFAP2A,Tfap2a
CFL2,Cfl2
CFAP91,Cfap91
,Cfap91
NOL4,Nol4
FCF1,Fcf1
COX17,Cox17
SFRP4,Sfrp4
COX17,Gm21987
SOD1,Sod1
BAZ1A,Baz1a
POPDC2,Popdc2
NLRP4,Nlrp4f
PLA1A,Pla1a
RBM22,Rbm22
ADPRH,Adprh
CD80,Cd80
RNU6-690P,Gm24296
MYOZ3,Myoz3
GCNT2,Gcnt2
TIMMDC1,Timmdc1
SYNPO,Synpo
POGLUT1,Poglut1
NDST1,Ndst1
ZNF274,Zfp369
SCAF4,Scaf4
RPS14,Rps14
NME8,Nme8
LPIN1,Lpin1
SMUG1,Smug1
DTNA,Dtna
CCDC134,Ccdc134
SLC29A2,Slc29a2
HUNK,Hunk
PAK1IP1,Pak1ip1
MROH2B,Mroh2b
MIS18A,Mis18a
TMEM14C,Tmem14c
MRAP,Mrap
B4GAT1,B4gat1
CBWD5,Cbwd1
CBWD3,Cbwd1
CBWD6,Cbwd1
GPR141,Gpr141
TMEM39A,Tmem39a
CBX5,Cbx5
ELMO1,Elmo1
B4GAT1,Gm50388
C7,C7
SNORA19,
CASP7,Casp7
CARD6,Card6
RPL37,Rpl37
BRMS1,Brms1
CD74,Cd74
SNORD72,Snord72
PRKAA1,Prkaa1
GPR50,Gpr50
DOCK8,Dock8
SLC16A2,Slc16a2
SREBF2,Srebf2
URB1,Urb1
AOAH,Aoah
SYCP3,Gm10488
MAPRE2,Mapre2
VMA21,Vma21
SYCP3,Gm14632
RIN1,Rin1
MYH11,Myh11
RNU1-64P,U1
MTBP,Mtbp
UQCRB,Uqcrb
HTR2C,Htr2c
RAMAC,Gm10767
RAMACL,Gm10767
RNU6-542P,Gm23207
OR2W1,Olfr1369-ps1
ZNF397,Zfp397
OR2W1,Olfr263
NTSR2,Ntsr2
CD248,Cd248
TMEM151A,Tmem151a
ZNF24,Zfp24
MAK,Mak
YLPM1,Ylpm1
KANK1,Kank1
RLIM,Rlim
INO80C,Ino80c
DMRT1,Dmrt1
SNORA35,Snora35
PASD1,Gm1141
TCOF1,Tcof1
DMRT3,Dmrt3
SNORA17A,Gm22266
DMRT2,Dmrt2
MIR448,Mir448
SYCP3,Gm10487
RNU4-63P,Gm25176
YIF1A,Yif1a
PRRG3,Prrg3
SPIN2B,Spin2f
SPIN2A,Spin2f
MOK,Mok
NEXMIF,Nexmif
MIR33A,Mir33
SHISA8,Shisa8
SNTB1,Sntb1
SPIN2B,Spin2e
SPIN2A,Spin2e
FATE1,Fate1
NHLRC2,Nhlrc2
SRP54,Srp54a
SPIN2B,Gm21637
SPIN2A,Gm21637
TTC33,Ttc33
IL13RA2,Il13ra2
TRIM27,Trim27
ADRB1,Adrb1
CNIH2,Cnih2
FAM177A1,Fam177a
TNFRSF13C,Tnfrsf13c
CCDC186,Ccdc186
PROX2,Prox2
CNGA2,Cnga2
GFM2,Gfm2
HAS2,Has2
MAGEA10,Magea4
ZNF839,Zfp839
ARHGAP31,Arhgap31
VN1R5,Vmn1r239-ps
HNRNPA1,Hnrnpa1
ABCB7,Abcb7
ARSI,Arsi
RAB1B,Rab1b
GALNT1,Galnt1
SRP54,Srp54b
CEP20,Cep20
SPIN2B,Gm5926
SPIN2A,Gm5926
KLC2,Klc2
UPRT,Uprt
B4GALT4,B4galt4
GABRE,Gabre
FAM177A1,Fam177a2
CINP,Cinp
MAGEA10,Magea10
PTGER4,Ptger4
MIR187,Mir187
C18orf21,2700062C07Rik
EVA1C,Eva1c
ZDHHC15,Zdhhc15
RPRD1A,Rprd1a
RNU6-1112P,Gm26178
PACS1,Pacs1
SLC39A6,Slc39a6
,Gm23139
,Gm23139
,Gm23139
MAGEE2,Magee2
DLST,Dlst
SPIN2B,Spin2g
SPIN2A,Spin2g
GABRA3,Gabra3
CAMK2A,Camk2a
NFE2,Nfe2
UPK1B,Upk1b
TEX55,Tex55
CENPM,Cenpm
CFAP298,Cfap298
CFAP298-TCP10L,Cfap298
MIR105-1,Mir105
MIR105-2,Mir105
RNU6-741P,Gm23461
RNU6-420P,Gm23461
SYCP3,Gm10486
SF3B2,Sf3b2
SRP54,Srp54c
IGSF11,Igsf11
ZHX2,Zhx2
GREB1,Greb1
GABRQ,Gabrq
LSAMP,Lsamp
DERL1,Derl1
GCM2,Gcm2
GAL3ST3,Gal3st3
COPZ1,Copz1
CATSPER1,Catsper1
MTERF3,Mterf3
RNU6-1097P,Gm22543
RNU6-539P,Gm22543
SLC6A7,Slc6a7
CST6,Cst6
ABCC1,Abcc1
MIR148B,Mir148b
PSPC1,Pspc1
ZNF385A,Zfp385a
TDRD1,Tdrd1
CDX1,Cdx1
SYCP3,Gm14819
ELP2,Elp2
TBC1D31,Tbc1d31
GPX6,Gpx6
DACH1,Dach1
CETN2,Cetn2
SYCP2L,Sycp2l
PPP2R3C,Ppp2r3c
RPS6KL1,Rps6kl1
LRCH2,Lrch2
HEXB,Hexb
E2F6,E2f6
RNU1-93P,Gm25831
ZSCAN12,Zscan12
RNU6-94P,Gm26139
ITGA5,Itga5
ZMYM5,Zmym5
ENC1,Enc1
PGF,Pgf
MOCOS,Mocos
RNU6-1226P,Gm23116
PTDSS1,Ptdss1
GAP43,Gap43
TECPR2,Tecpr2
MZT1,Mzt1
PDGFRB,Pdgfrb
SNAI2,Snai2
WDHD1,Wdhd1
RNU6-9,Gm25547
EFCAB1,Efcab1
AGRP,Agrp
ELOVL2,Elovl2
SEPTIN3,Septin3
SNORA35B,Gm25107
PBDC1,Pbdc1
RIPOR1,Ripor1
ZNF845,Zfp712
SYNJ1,Synj1
NSDHL,Nsdhl
EIF2B2,Eif2b2
SMIM13,Smim13
CSF1R,Csf1r
CTCF,Ctcf
ZNF429,Zfp708
MAGEE1,Magee1
BANF1,Banf1
,Prorp
PRORP,Prorp
ZKSCAN4,Zkscan3
EIF1AD,Eif1ad
NR3C2,Nr3c2
VWA2,Vwa2
SOCS4,Socs4
WBP2NL,Wbp2nl
FGF16,Fgf16
ZMYM2,Zmym2
NAGA,Naga
ZNF429,Gm28557
HMGXB3,Hmgxb3
ZNF429,Rslcan18
ANKRD9,Ankrd9
NEDD9,Nedd9
SART1,Sart1
ZNF185,Zfp185
BORA,Bora
,Gm24838
,Gm24838
,Gm24838
CARMIL2,Carmil2
UBE2V2,Ube2v2
PSMA6,Psma6
PHETA2,Pheta2
PGBD1,Pgbd1
MCM4,Mcm4
RNU6-786P,Gm26403
SLC26A2,Slc26a2
PCM1,Pcm1
SMDT1,Smdt1
RCOR1,Rcor1
TSGA10IP,Tsga10ip
GJA3,Gja3
FHOD3,Fhod3
ZNF845,Zfp759
MAPK1IP1L,Mapk1ip1l
DRAP1,Drap1
GTSF1,Gtsf1
MLH3,Mlh3
GJB2,Gjb2
PNMA5,Pnma5
ZSCAN26,Zscan26
PAXBP1,Paxbp1
PNMA3,Pnma3
TMEM170B,Tmem170b
GJB6,Gjb6
ZNF429,Rsl1
CRYL1,Cryl1
ZNF429,Zfp455
C11orf68,AI837181
,Gm23593
ZNF845,Zfp458
DIS3,Dis3
FOSL1,Fosl1
NFKBIA,Nfkbia
CCDC85B,Ccdc85b
ZNF678,Zfp457
ZNF695,Zfp457
ZNF736,Zfp457
ZNF681,Zfp457
ZNF738,Zfp457
ZNF85,Zfp457
ZNF727,Zfp457
ZNF724,Zfp457
ZNF682,Zfp457
AFAP1L2,Afap1l2
DOCK11,Dock11
ALDOA,Aldoart2
ZNF678,Zfp595
ZNF695,Zfp595
ZNF736,Zfp595
ZNF681,Zfp595
ZNF738,Zfp595
ZNF85,Zfp595
ZNF727,Zfp595
ZNF724,Zfp595
ZNF682,Zfp595
INSM2,Insm2
RNU2-52P,Gm22073
MRPL47,Mrpl47
ZNF98,Gm28044
ZNF626,Gm28044
ZNF100,Gm28044
ZNF737,Gm28044
ZNF479,Gm28044
,Gm28044
